group_id,nb_techniques,name,aliases
intrusion-set--bf668120-e9a6-4017-a014-bfc0f5232656,12,Malteiro,Malteiro
intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,12,FIN4,FIN4
intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,11,Evilnum,Evilnum
intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,11,Machete,"Machete, APT-C-43, El Machete"
intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,11,FIN5,FIN5
intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,11,PROMETHIUM,"PROMETHIUM, StrongPity"
intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,11,PLATINUM,PLATINUM
intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,11,FIN10,FIN10
intrusion-set--813636db-3939-4a45-bea9-6113e970c029,10,DarkVishnya,DarkVishnya
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,10,Deep Panda,"Deep Panda, Shell Crew, WebMasters, KungFu Kittens, PinkPanther, Black Vine"
intrusion-set--03506554-5f37-4f8f-9ce4-0e9f01a1b484,9,Elderwood,"Elderwood, Elderwood Gang, Beijing Group, Sneaky Panda"
intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c,9,Carbanak,"Carbanak, Anunak"
intrusion-set--64d5f96a-f121-4d19-89f6-6709f5c49faa,9,Aoqin Dragon,Aoqin Dragon
intrusion-set--b74f909f-8e52-4b69-b770-162bf59a1b4e,9,Whitefly,Whitefly
intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd,9,Metador,Metador
intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133,9,GOLD SOUTHFIELD,"GOLD SOUTHFIELD, Pinchy Spider"
intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,9,Sowbug,Sowbug
intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,9,Rancor,Rancor
intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28,8,MoustachedBouncer,MoustachedBouncer
intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446,8,Poseidon Group,Poseidon Group
intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,8,CopyKittens,CopyKittens
intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a,7,Windigo,Windigo
intrusion-set--5f3d0238-d058-44a9-8812-3dd1b6741a8c,7,POLONIUM,"POLONIUM, Plaid Rain"
intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4,7,The White Company,The White Company
intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,7,DarkHydrus,DarkHydrus
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,7,RTM,RTM
intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,7,IndigoZebra,IndigoZebra
intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172,7,Nomadic Octopus,"Nomadic Octopus, DustSquad"
intrusion-set--13ef3485-70d2-4567-b934-0e83c1eafcf1,6,TA577,TA577
