group_name,technique_id,attack_id,technique,tactic,platforms
APT28,attack-pattern--bc0f5e80-91c0-4e04-9fbb-e4e332c85dae,T1546.015,Component Object Model Hijacking,persistence,Windows
APT41,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,T1005,Data from Local System,collection,"ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a,T1560,Archive Collected Data,collection,"Linux, macOS, Windows"
APT41,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,T1133,External Remote Services,persistence,"Containers, Linux, macOS, Windows"
APT41,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,T1133,External Remote Services,initial-access,"Containers, Linux, macOS, Windows"
APT28,attack-pattern--9fa07bef-9c81-421e-a8e5-ad4366c5a925,T1199,Trusted Relationship,initial-access,"IaaS, Identity Provider, Linux, macOS, Office Suite, SaaS, Windows"
APT41,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,T1070.004,File Deletion,stealth,"ESXi, Linux, macOS, Windows"
APT28,attack-pattern--348f1eef-964b-4eb6-bb53-69b3dcb0c643,T1120,Peripheral Device Discovery,discovery,"Linux, macOS, Windows"
APT28,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,T1059.003,Windows Command Shell,execution,Windows
Lazarus Group,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,T1203,Exploitation for Client Execution,execution,"Linux, macOS, Windows"
APT28,attack-pattern--48b836c6-e4ca-435a-82a3-29c03e5b492e,T1557.004,Evil Twin,credential-access,Network Devices
APT28,attack-pattern--48b836c6-e4ca-435a-82a3-29c03e5b492e,T1557.004,Evil Twin,collection,Network Devices
Lazarus Group,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,T1059.001,PowerShell,execution,Windows
Lazarus Group,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,T1566.002,Spearphishing Link,initial-access,"Identity Provider, Linux, macOS, Office Suite, SaaS, Windows"
APT28,attack-pattern--d74c4a7e-ffbf-432f-9365-7ebf1f787cab,T1498,Network Denial of Service,impact,"Windows, IaaS, Linux, macOS, Containers"
APT28,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,T1070.004,File Deletion,stealth,"ESXi, Linux, macOS, Windows"
Lazarus Group,attack-pattern--1c34f7aa-9341-4a48-bfab-af22e51aca6c,T1074.001,Local Data Staging,collection,"ESXi, Linux, macOS, Windows"
APT41,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,T1566.001,Spearphishing Attachment,initial-access,"Linux, macOS, Windows"
APT28,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a,T1560,Archive Collected Data,collection,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--bd5b58a4-a52d-4a29-bc0d-3f1d3968eb6b,T1036.003,Rename Legitimate Utilities,stealth,"Linux, macOS, Windows"
APT28,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,T1105,Ingress Tool Transfer,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872,T1685,Disable or Modify Tools,defense-impairment,"Containers, ESXi, IaaS, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,T1047,Windows Management Instrumentation,execution,Windows
Lazarus Group,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,T1071.001,Web Protocols,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--cca0ccb6-a068-4574-a722-b1556f86833a,T1598,Phishing for Information,reconnaissance,PRE
Lazarus Group,attack-pattern--650c784b-7504-4df7-ab2c-4ea882384d1e,T1557.001,Name Resolution Poisoning and SMB Relay,credential-access,Windows
Lazarus Group,attack-pattern--650c784b-7504-4df7-ab2c-4ea882384d1e,T1557.001,Name Resolution Poisoning and SMB Relay,collection,Windows
Lazarus Group,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,T1057,Process Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--232a7e42-cd6e-4902-8fe9-2960f529dd4d,T1559.002,Dynamic Data Exchange,execution,Windows
APT28,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,T1036.005,Match Legitimate Resource Name or Location,stealth,"Containers, ESXi, Linux, macOS, Windows"
