id,name,aliases
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,Lotus Blossom,"Lotus Blossom, DRAGONFISH, Spring Dragon, RADIUM, Raspberry Typhoon, Bilbug, Thrip"
intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133,GOLD SOUTHFIELD,"GOLD SOUTHFIELD, Pinchy Spider"
intrusion-set--b2e34388-6938-4c59-a702-80dc219e15e3,Volatile Cedar,"Volatile Cedar, Lebanese Cedar"
intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,Evilnum,Evilnum
intrusion-set--5e78ae92-3ffd-4b16-bf62-e798529d73f1,Sharpshooter,Sharpshooter
intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,Cleaver,"Cleaver, Threat Group 2889, TG-2889"
intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4,TEMP.Veles,"TEMP.Veles, XENOTIME"
intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,DarkHydrus,DarkHydrus
intrusion-set--b74f909f-8e52-4b69-b770-162bf59a1b4e,Whitefly,Whitefly
intrusion-set--90784c1e-4aba-40eb-9adf-7556235e6384,Silent Librarian,"Silent Librarian, TA407, COBALT DICKENS"
intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,APT18,"APT18, TG-0416, Dynamite Panda, Threat Group-0416"
intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c,Carbanak,"Carbanak, Anunak"
intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,Orangeworm,Orangeworm
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,Deep Panda,"Deep Panda, Shell Crew, WebMasters, KungFu Kittens, PinkPanther, Black Vine"
intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4,The White Company,The White Company
intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446,Poseidon Group,Poseidon Group
intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,LazyScripter,LazyScripter
intrusion-set--2fd2be6a-d3a2-4a65-b499-05ea2693abee,Gallmaker,Gallmaker
intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28,MoustachedBouncer,MoustachedBouncer
intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,CopyKittens,CopyKittens
intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,Thrip,Thrip
intrusion-set--7a0d4c09-dfe7-4fa2-965a-1a0e42fedd70,Stolen Pencil,Stolen Pencil
intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,PROMETHIUM,"PROMETHIUM, StrongPity"
intrusion-set--0ea72cd5-ca30-46ba-bc04-378f701c658f,GCMAN,GCMAN
intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,Ferocious Kitten,Ferocious Kitten
intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,PittyTiger,PittyTiger
intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,APT17,"APT17, Deputy Dog"
intrusion-set--be8847e0-9512-45db-895e-f871ab6d3820,Water Galura,"Water Galura, GOLD FEATHER"
intrusion-set--da49b9f1-ca99-443f-9728-0a074db66850,BlackOasis,BlackOasis
intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,IndigoZebra,IndigoZebra
intrusion-set--76565741-3452-4069-ab08-80c0ea95bbeb,SilverTerrier,SilverTerrier
intrusion-set--277d2f87-2ae5-4730-a3aa-50c1fdff9656,Strider,"Strider, ProjectSauron"
intrusion-set--14225573-63b5-4e50-ba9a-5fdcaf6a7b4c,AppleJeus,"AppleJeus, Gleaming Pisces, Citrine Sleet, UNC1720, UNC4736"
intrusion-set--c5574ca0-d5a4-490a-b207-e4658e5fd1d7,Scarlet Mimic,Scarlet Mimic
intrusion-set--a5cfbc79-316c-42f2-915d-6e8fef4085f8,TA578,TA578
intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,APT16,APT16
intrusion-set--2e5d3a83-fe00-41a5-9b60-237efc84832f,Moafee,Moafee
intrusion-set--025bdaa9-897d-4bad-afa6-013ba5734653,NEODYMIUM,NEODYMIUM
intrusion-set--f3bdec95-3d62-42d9-a840-29630f6cdc1a,DragonOK,DragonOK
intrusion-set--59140a2e-d117-4206-9b2c-2a8662bd9d46,Taidoor,Taidoor
intrusion-set--8332952e-b86b-486b-acc3-1c2a85d39394,APT-C-23,"APT-C-23, Mantis, Arid Viper, Desert Falcon, TAG-63, Grey Karkadann, Big Bang APT, Two-tailed Scorpion"
intrusion-set--9559ecaf-2e75-48a7-aee8-9974020bc772,MONSOON,NA
intrusion-set--92d5b3fd-3b39-438e-af68-770e447beada,Charming Kitten,Charming Kitten
intrusion-set--68ba94ab-78b8-43e7-83e2-aed3466882c6,APT34,NA
